#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
cta.1.desc;This war, this opportunity to prove my mettle in combat, has opened my eyes to my true potential as a warrior. My personal combat skills are improving...;;;;En esta guerra he tenido ocasión de probarme en combate y he descubierto mi auténtico potencial. Mi habilidad marcial está mejorando...;;;;;;;;;x
cta.1.opt.1;May [Root.Religion.GetRandomGodNameCap] guide my heart, hand, and steel.;;;;Que [Root.Religion.GetRandomGodNameCap] guíe mi corazón, mi mano y mi acero.;;;;;;;;;x
cta.1.opt.1.CTT;§Y[Root.GetTitledFirstName]§! begins advancement of [Root.GetHerHis] personal combat skills...\n;;;;§Y[Root.GetTitledFirstName]§! comienza a mejorar su habilidad marcial...\n;;;;;;;;;x
cta.2.desc;I've learned many lessons from this battle. Aside from application of the theoretical tactics my mentors taught me as a boy, I've learned to deftly isolate an opponent in the thick of the front, bring all my focus and concentration to bear upon him, and then, within but a few rounds of melee, swiftly execute him. I'm proud of my clear progression into a greater warrior.;;;;Aprendí mucho de esta batalla. Aparte de la aplicación de las tácticas que me enseñaron mis mentores, he aprendido a aislar a mi oponente en el fragor de la batalla, poner toda mi atención y concentración en abatirle y al fin, con golpes certeros acabar con él. Estoy orgulloso de mi progreso como gran guerrero.;;;;;;;;;x
cta.2.opt.1;Still, I've more lessons to learn.;;;;Todavía tengo lecciones que aprender.;;;;;;;;;x
cta.2.opt.1.CTT;§Y[Root.GetTitledFirstName]§! continues advancement of [Root.GetHerHis] personal combat skills...\n;;;;§Y[Root.GetTitledFirstName]§! continúa el avance en su habilidad marcial\n;;;;;;;;;x
cta.3.desc;I will remember this battle in its finest detail until the end of my days. [Root.Religion.GetRandomGodNameCap] guided my sword into the hearts of a countless number of my foes, raising cheers and battle-cries from my surrounding men as I cut a path through the enemy. My mastery of personal combat has come a long way. Apparently, I am not the only one to think so.;;;;Recordaré hasta el más mínimo detalle de esta batalla hasta el final de mis días. [Root.Religion.GetRandomGodNameCap] guió mi espada hasta el corazón de mis enemigos, alzando vítores y gritos de batalla entre mis hombres mientras abría paso con mi espada. Mi maestría en combate no tiene parangón. Aparentemente, no soy el único que lo piensa.;;;;;;;;;x
cta.3.opt.1;I'm finally a warrior.;;;;Por fin soy un guerrero.;;;;;;;;;x
cta.3.opt.2;I'm now recognized as a trained fighter.;;;;Ahora se me reconoce como luchador.;;;;;;;;;x
cta.3.opt.3;I'm now reknowned as skilled fighter.;;;;Ahora soy un luchador de renombre.;;;;;;;;;x
cta.3.opt.4;I now command the respect of an elite warrior.;;;;Ahora se me respeta como guerrero de élite.;;;;;;;;;x
